cod_concesion,COD_CONTADOR_ACT,CALIBRE
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,Q18EA019622R,13.0
VR,D12TA089411S,13.0
VR,A11OA044735R,13.0
VR,J13OB003911L,13.0
VR,J11CA267685V,13.0
VR,202386,13.0
VR,Q18GA043692M,13.0
VR,D12TA089585N,13.0
VR,Q18GA043890Q,13.0
VR,J15LA851167D,13.0
VR,,
VR,,
VR,Q18EA019432N,13.0
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,Q18EA019738C,13.0
VR,,
VR,,
VR,,
VR,C18LA220037T,13.0
VR,,
VR,,
VR,Q18GA038000P,13.0
VR,,
VR,,
VR,J14LA732748X,13.0
VR,,
VR,,
VR,Q19GA005047M,13.0
VR,,
VR,Q18EA019601M,13.0
VR,D12TA089836N,13.0
VR,,
VR,Q18GA037980C,13.0
VR,,
VR,,
VR,,
VR,,
VR,J15LA851069C,13.0
VR,Q21GA046024T,13.0
VR,,
VR,,
VR,D12TA089416X,13.0
VR,,
VR,,
VR,,
VR,Q18EA019875K,13.0
VR,,
VR,Q19GA005063M,13.0
VR,,
VR,H291715,13.0
VR,,
VR,J14LA728133R,13.0
VR,,
VR,,
VR,Q18GA043153Q,13.0
VR,Q18GA043153Q,13.0
VR,,
VR,Q18EA019421K,13.0
VR,,
VR,Q21GA045959B,13.0
VR,,
VR,,
VR,J15LA850495M,13.0
VR,,
VR,,
VR,,
VR,,
VR,,
VR,C18LA220021L,13.0
VR,C18LA220026Q,13.0
VR,,
VR,J14LA719631D,13.0
VR,J15LA851199L,13.0
VR,,
VR,,
VR,J17LA638887A,13.0
VR,,
VR,,
VR,,
VR,C18LA220005L,13.0
VR,,
VR,Q18EA019450P,13.0
VR,,
VR,C18LA220108R,13.0
VR,,
VR,,
VR,2109411,13.0
VR,,
VR,,
VR,A11OA216152F,13.0
VR,,
VR,Q18GA037899K,13.0
VR,,
VR,C18LA220112N,13.0
VR,,
VR,J15LA851095E,13.0
VR,,
VR,,
VR,J15LA850493K,13.0
VR,,
VR,J15LA850998E,13.0
VR,J15LA850999F,13.0
VR,,
VR,,
VR,J14LA728153V,13.0
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,C18LA220102L,13.0
VR,,
VR,Q21GA031117Y,13.0
VR,,
VR,,
VR,,
VR,,
VR,,
VR,,
VR,Q21GA045884Z,13.0
VR,Q21GA046157F,13.0
